task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Rastrigin,2,200,16,coherence,2.1054998825419986,5.0391210655465235,2.1054998825419986,0.13171110000075714,20.0,0.507357210844685,0.2154904594659778,0.12743111110372835,0.024499512112801023
Rastrigin,2,200,16,potential,1.9901251799602306,4.839978969462961,1.9901251799602306,0.12864026599891076,21.0,0.551332131187935,0.23229368489380445,0.14554515500910153,0.17093599685582356
Rastrigin,2,200,16,both,2.1054998825419986,5.0391210655465235,2.1054998825419986,0.1334107769998809,20.0,0.507357210844685,0.2154904594659778,0.12743111110372835,0.024499512112801023
Rastrigin,2,200,17,none,1.9573056086702927,5.358729279489053,1.9573056086702927,0.09791118399880361,25.0,,,,
Rastrigin,2,200,17,coherence,0.999728507752728,5.3246909289253725,0.999728507752728,0.13330993300041882,22.0,0.5589661201163749,0.21204657454777762,0.12338099793663765,0.1963571799875285
Rastrigin,2,200,17,potential,1.9573056086702927,5.358729279489053,1.9573056086702927,0.14383551200080547,25.0,0.5270483654292644,0.24277232729919623,0.13134894689442253,0.09007105687945034
Rastrigin,2,200,17,both,1.0941770303002052,5.0484852369981414,1.0941770303002052,0.13802432200100156,24.0,0.5715263978894582,0.19478364015885577,0.12925044667093025,0.23818290497189598
Rastrigin,2,200,18,none,1.0529753353346436,3.8712900257349556,1.0529753353346436,0.08968291400015005,22.0,,,,
Rastrigin,2,200,18,coherence,5.450281072866073,7.3370404540449226,5.450281072866073,0.13263540399930207,21.0,0.789936529475047,0.2324094903263305,0.18780175269455773,0.9654886431519065
Rastrigin,2,200,18,potential,3.3600645913366733,6.34982130443757,3.3600645913366733,0.14297505900140095,23.0,0.6375817069048444,0.23991711374615474,0.16115116172439206,0.4581470839931318
Rastrigin,2,200,18,both,2.2524894449474147,5.11342369183549,2.2524894449474147,0.1333936660012114,22.0,0.7693768999105794,0.19837356328630526,0.15298361683775386,0.8970250767022295
Rastrigin,2,200,19,none,4.046952680140789,6.062681025931474,4.046952680140789,0.10011617000054684,26.0,,,,
Rastrigin,2,200,19,coherence,3.7733908458101624,6.243349644879722,3.7733908458101624,0.13477705500008597,24.0,0.5835656643771856,0.21147729431535536,0.13987477784749222,0.2782736623760281
Rastrigin,2,200,19,potential,5.041903342392233,6.693658628028482,5.041903342392233,0.17513404700002866,23.0,0.6309756345904465,0.21213747451529538,0.13168488439789547,0.4361488631861868
Rastrigin,2,200,19,both,3.2940106758520713,5.898367464752709,3.2940106758520713,0.14236115900166624,23.0,0.5231021810451597,0.19847330599915267,0.1701067761335694,0.07693026288038184
Rosenbrock,2,200,0,none,0.003963608121318938,169.96707660882402,0.003963608121318938,0.0972138229990378,20.0,,,,
