FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3511 | NoiseVar=1.26e-05
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2649 | NoiseVar=3.28e-05
FIT_QUALITY | Depth=3 | N_pts=14 | R2=0.8180 | NoiseVar=6.63e-04
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1644 | NoiseVar=5.17e-05
FIT_QUALITY | Depth=3 | N_pts=14 | R2=0.8180 | NoiseVar=6.63e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2270 | NoiseVar=2.44e-03
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2649 | NoiseVar=3.28e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1644 | NoiseVar=5.17e-05
FIT_QUALITY | Depth=3 | N_pts=18 | R2=0.2204 | NoiseVar=2.09e-04
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.3744 | NoiseVar=1.23e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4384 | NoiseVar=1.78e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3511 | NoiseVar=1.26e-05
FIT_QUALITY | Depth=3 | N_pts=18 | R2=0.3613 | NoiseVar=1.20e-03
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.3446 | NoiseVar=1.18e-03
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.2106 | NoiseVar=1.99e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3716 | NoiseVar=1.21e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2248 | NoiseVar=2.50e-03
FIT_QUALITY | Depth=3 | N_pts=14 | R2=0.8180 | NoiseVar=6.63e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2248 | NoiseVar=2.50e-03
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2649 | NoiseVar=3.28e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1644 | NoiseVar=5.17e-05
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.2106 | NoiseVar=1.99e-04
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.3446 | NoiseVar=1.18e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4384 | NoiseVar=1.78e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3716 | NoiseVar=1.21e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.8052 | NoiseVar=7.45e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3969 | NoiseVar=1.85e-04
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.3745 | NoiseVar=1.65e-04
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.3853 | NoiseVar=1.73e-04
FIT_QUALITY | Depth=3 | N_pts=20 | R2=0.2114 | NoiseVar=1.92e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.8052 | NoiseVar=7.45e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2248 | NoiseVar=2.50e-03
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2649 | NoiseVar=3.28e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.3853 | NoiseVar=1.73e-04
FIT_QUALITY | Depth=3 | N_pts=20 | R2=0.2114 | NoiseVar=1.92e-04
FIT_QUALITY | Depth=3 | N_pts=19 | R2=0.3446 | NoiseVar=1.18e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3969 | NoiseVar=1.85e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3716 | NoiseVar=1.21e-05
FIT_QUALITY | Depth=3 | N_pts=20 | R2=0.3296 | NoiseVar=1.16e-03
